sLed,rSensor1,rSensor2,rSensor3,rSensor4,timeStamp
2,0,0,0,0,1500
2,0,0,0,0,1501
2,0,0,0,0,1502
2,0,0,0,0,1503
2,0,0,0,0,1504
2,0,0,0,0,1505
1,0,0,0,0,1506
1,0,0,0,0,1507
1,0,0,0,0,1508
1,0,0,0,0,1509
1,0,0,0,0,1510
1,0,0,0,0,1511
1,0,0,0,0,1512
1,0,0,0,0,1513
1,0,0,0,0,1514
1,0,0,0,0,1515
1,0,0,0,0,1516
1,0,0,0,0,1517
1,0,0,0,0,1518
1,0,0,0,0,1519
1,0,0,0,0,1520
1,0,0,0,0,1521
1,0,0,0,0,1522
1,0,0,0,0,1523
1,0,0,0,0,1524
1,0,0,0,0,1525
2,0,0,0,0,1526
2,0,0,0,0,1527
2,0,0,0,0,1528
2,0,0,0,0,1529
2,0,0,0,0,1530
2,0,0,1257,0,1531
2,0,0,2286,0,1532
2,0,0,2559,0,1533
2,0,0,2990,0,1534
2,0,0,3365,0,1535
2,0,0,3287,0,1536
2,0,0,3182,0,1537
2,0,0,1840,0,1538
2,0,0,65,0,1539
2,0,0,0,0,1540
2,0,0,0,0,1541
2,0,0,0,0,1542
2,0,0,0,0,1543
2,0,0,0,0,1544
2,0,0,0,0,1545
0,0,0,0,0,1546
0,0,0,0,0,1547
0,0,0,0,0,1548
0,0,0,0,0,1549
0,0,0,0,0,1550
0,0,0,0,0,1551
0,0,0,0,0,1552
0,0,0,0,0,1553
0,0,0,0,0,1554
0,0,0,0,0,1555
0,0,0,0,0,1556
0,0,0,0,0,1557
0,0,0,0,0,1558
0,0,0,304,0,1559
0,0,0,2112,0,1560
0,0,0,2811,0,1561
0,0,0,3119,0,1562
0,0,0,3326,0,1563
0,0,0,3521,0,1564
0,0,0,3623,0,1565
3,0,0,3583,0,1566
3,0,0,3475,0,1567
3,0,0,2670,0,1568
3,0,0,67,0,1569
3,0,0,0,0,1570
3,0,0,0,0,1571
3,0,0,0,0,1572
3,0,0,0,0,1573
3,0,0,0,0,1574
3,0,0,0,0,1575
3,0,0,0,0,1576
3,0,0,0,0,1577
3,0,0,0,0,1578
3,0,0,0,0,1579
3,0,0,0,0,1580
3,0,0,0,0,1581
3,0,0,0,0,1582
3,0,0,0,0,1583
3,0,0,0,60,1584
3,0,0,0,1238,1585
3,0,0,0,2129,1586
3,0,0,0,2512,1587
3,0,0,0,2727,1588
3,0,0,0,2876,1589
3,0,0,0,2912,1590
3,0,0,0,2971,1591
3,0,0,0,3060,1592
3,0,0,0,3095,1593
3,0,0,0,3010,1594
3,0,0,0,2608,1595
3,0,0,0,152,1596
3,0,0,0,0,1597
3,0,0,0,0,1598
3,0,0,0,0,1599
3,0,0,0,0,1600
3,0,0,0,0,1601
3,0,0,0,0,1602
3,0,0,0,0,1603
3,0,0,0,0,1604
3,0,0,0,0,1605
2,0,0,0,0,1606
2,0,0,0,335,1607
2,0,0,0,2457,1608
2,0,0,0,2722,1609
2,0,0,0,3079,1610
2,0,0,0,3041,1611
2,0,0,0,3109,1612
2,0,0,0,3248,1613
2,0,0,0,3227,1614
2,0,0,0,3242,1615
2,0,0,0,3273,1616
2,0,0,0,3247,1617
2,0,0,0,3071,1618
2,0,0,0,2768,1619
2,0,0,0,114,1620
2,0,0,0,0,1621
2,0,0,0,0,1622
2,0,0,0,0,1623
2,0,0,0,0,1624
2,0,0,0,0,1625
3,0,0,0,0,1626
3,0,0,0,0,1627
3,0,0,0,0,1628
3,0,0,0,0,1629
3,0,0,0,0,1630
3,0,0,0,0,1631
3,0,0,0,0,1632
3,0,0,0,0,1633
3,0,0,0,0,1634
3,1292,0,0,0,1635
3,1831,0,0,0,1636
3,2526,0,0,0,1637
3,2815,0,0,0,1638
3,2995,0,0,0,1639
3,3152,0,0,0,1640
3,3303,0,0,0,1641
3,3307,0,0,0,1642
3,3310,0,0,0,1643
3,3219,0,0,0,1644
3,2333,0,0,0,1645
3,109,0,0,0,1646
3,0,0,0,0,1647
3,0,0,0,0,1648
3,0,0,0,0,1649
3,0,0,0,0,1650
3,0,0,0,0,1651
3,0,0,0,0,1652
3,0,0,0,0,1653
3,0,0,0,0,1654
3,0,0,0,0,1655
3,0,0,0,0,1656
3,860,0,0,0,1657
3,1525,0,0,0,1658
3,1941,0,0,0,1659
3,2074,0,0,0,1660
