sLed,rSensor1,rSensor2,rSensor3,rSensor4,timeStamp,interval_ms
3,0,0,0,0,394,0
3,0,0,0,0,395,0
3,0,0,0,0,396,0
3,0,0,0,0,397,0
3,0,0,0,0,398,0
3,0,0,0,0,399,0
3,0,0,0,0,400,0
3,0,0,0,0,401,0
3,0,0,0,0,402,0
3,0,0,1397,0,403,0
3,0,0,2450,0,404,0
0,0,0,3570,0,405,550
0,0,0,3901,0,406,550
0,0,0,3307,0,407,550
0,0,0,67,0,408,550
0,0,0,0,0,409,550
0,0,0,0,0,410,550
0,0,0,0,0,411,550
0,0,0,0,0,412,550
0,0,0,0,1454,413,550
0,0,0,0,2914,414,550
0,0,0,0,3284,415,550
0,0,0,0,2139,416,550
0,0,0,0,0,417,550
0,0,0,0,0,418,550
0,0,0,0,0,419,550
0,0,0,0,0,420,550
0,0,0,2480,0,421,550
0,0,0,3333,0,422,550
0,0,0,3444,0,423,550
0,0,0,2874,0,424,550
0,0,0,0,0,425,550
3,0,0,0,0,426,1050
3,0,0,0,0,427,1050
3,0,0,0,0,428,1050
3,0,0,0,1983,429,1050
3,0,0,0,2982,430,1050
3,0,0,0,3682,431,1050
3,0,0,0,3247,432,1050
3,0,0,0,23,433,1050
3,0,0,0,0,434,1050
3,0,0,0,0,435,1050
3,0,0,0,0,436,1050
3,0,0,0,0,437,1050
3,0,0,0,0,438,1050
3,0,0,0,0,439,1050
3,0,0,0,0,440,1050
3,0,0,0,0,441,1050
3,0,0,0,0,442,1050
3,0,0,0,0,443,1050
3,0,0,0,0,444,1050
3,0,0,0,0,445,1050
3,0,0,0,0,446,1050
1,0,0,0,0,447,1050
1,0,0,0,0,448,1050
